;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Andalucía;86568676;93709992;100949639;109668109;118493081;128578073;138535591;148025809;151226849;144878289;144752225;143389086;138007226;136048003;137722026;144745569;148405362;155371755;160580547;165000524;150556999
Aragón;20071592;21577543;23368239;24975186;26638692;28663286;31098276;33853480;35141063;33564425;33828995;33368344;31963049;32082809;32289054;32876311;34214691;35638352;36868560;38084387;35289952
Asturias;14305047;15409649;16299205;17208849;18299196;19843031;21562413;23105938;23844408;22541896;22733586;22375426;21364846;20746770;20652899;21372587;21694246;22592548;23224857;23705903;21474791
Islas Baleares;16545333;17870191;18874734;19795906;21120475;22790808;24689753;26461916;27574628;26478337;26535097;26398144;25979358;25931407;26769837;28245574;29831313;31383376;32740955;34172158;26789155
Islas Canarias;26048646;28352782;30271685;32396850;34229642;36631532;39058508;41425115;42308705;40296021;40811481;40595330;39204779;39032454;39266705;40566240;42013704;44205400;45830435;47483461;39162597
Cantabria;7968169;8618734;9196317;9688157;10314344;11138852;11939798;12819428;13260788;12788985;12836685;12622706;12167280;11864241;12057567;12325933;12736089;13226038;13743179;14168880;12866634
Castilla y León;35717613;38031539;40357850;42842365;45544681;48617553;51856568;55466217;56637995;54795978;54970431;54575008;52868471;51504174;51539425;53238351;54767172;56051831;58544593;59852213;55401268
Castilla-La Mancha;21744122;23641769;25423376;27577840;29556643;32301036;35198870;38370244;39926198;38582257;38706827;38258606;36890198;36153041;35353236;37113609;38315029;39891219;41479349;42489519;39572837
Cataluña;122427924;132653412;141546705;151491725;162355073;174408587;189001189;202380332;207716061;200139996;201705890;198906023;193449278;192006545;195370105;204355232;212703912;221476488;229098023;237504612;212931347
Comunidad Valenciana;62717924;68504386;73298081;78134696;83659062;90149555;97829436;104471495;107508471;101443496;101201463;99706759;95177430;94309154;96320641;100110751;103228580;107785815;111741700;115407021;104724101
Extremadura;10750237;11516186;12264844;13121521;14030704;15264773;16306857;17564197;18249829;17829466;18135329;17738058;17065094;17057479;17024183;17902594;18504343;19534814;20090192;20516661;19385729
Galicia;33464463;36054603;38484522;41192359;44312068;48048435;52068958;56108957;58358648;56303675;56767263;55767991;53971849;53925394;54190333;56666599;58279948;60394810;62427620;64348888;59105226
Comunidad de Madrid;114454953;124576514;133608749;143012097;153557325;165760054;180859334;193749322;201235501;198374372;197145571;198465261;195026853;192620202;194960214;204244524;211672686;222027547;230812763;241039907;216527407
Región de Murcia;15717410;17141718;18638319;20261446;21773122;23863104;25934032;27985381;29098291;27670321;27912742;27236069;26508820;26566278;26712051;28492083;29369879;30538493;31094338;32287218;29939714
Comunidad Foral de Navarra;11177110;11918713;12718187;13529155;14431131;15517494;16661235;17766300;18517376;17896504;17973969;17942160;17282206;17237767;17505255;18145704;18747249;19528873;20064721;20901372;19265047
País Vasco;40789981;43595419;46029847;48585365;51724767;55666720;60233698;64281602;66779471;63926115;64680368;64130843;62558828;61625767;62677248;64989988;67126912;69657915;71924979;74050747;66558211
La Rioja;4900954;5242948;5542919;5998007;6362196;6851360;7410569;7946155;8247306;7893077;7977333;7907440;7636210;7539145;7685969;7962438;8014694;8295191;8602348;8844458;8128883
Ceuta;1017262;1051634;1107804;1183283;1250959;1323250;1419795;1512357;1562940;1551373;1578805;1575312;1525243;1551851;1543087;1597390;1636511;1659859;1720339;1770462;1642136
Melilla;921312;953301;993232;1059665;1130075;1203682;1289507;1354257;1403440;1396649;1415709;1417774;1369832;1389601;1402792;1461285;1506101;1519867;1577826;1622451;1508520